FR;EN;group;stage;type
une bulle;a speech bubble;;1.0;mot regulier
le vote par correspondance;the postal vote;;1.0;mot regulier
Est-ce que je peux vous être utile ?;Can I help you?;;1.0;mot regulier
être chocolat;to be left disappointed / to be taken for a ride;;1.0;mot regulier
la mite;the moth;;1.0;mot regulier
bouchonné;corked;;1.0;mot regulier
un courrier électronique;an email;;1.0;mot regulier
la craie;the chalk;;1.0;mot regulier
un harmonica;a harmonica;;1.0;mot regulier
les glucides;the carbohydrates;;1.0;mot regulier
bouillir;to boil;;1.0;mot regulier
jaune;yellow;;1.0;mot regulier
S'attendre à [faire];To expect to [do];;1.0;mot regulier
J'ai passé l'aspirateur !;I hoovered!;;1.0;mot regulier
Il réussirait en tant qu'acteur. (réussir);He would succeed as an actor.;;1.0;mot regulier
Il faut des oignons pour la tarte flambée.;You need onions for a tarte flambée.;;1.0;mot regulier
faire signe;to wave;;1.0;mot regulier
le moineau;the sparrow;;1.0;mot regulier
la vache;the cow;;1.0;mot regulier
avec des glaçons;"""""""""on the rocks""""""""";;1.0;mot regulier
le moustique;the mosquito;;1.0;mot regulier
vingt-six;twenty-six;;1.0;mot regulier
élever;to breed;;1.0;mot regulier
élire;to elect;;1.0;mot regulier
la standing ovation;the standing ovation;;1.0;mot regulier
un renne;a reindeer;;1.0;mot regulier
le menton;chin;;1.0;mot regulier
la dinde;turkey;;1.0;mot regulier
Avant de traduire la lettre, elle l'avait lue en entier.;Before translating the letter, she read it through.;;1.0;mot regulier
le marécage;the swamp;;1.0;mot regulier
le chancelier;chancellor (m);;1.0;mot regulier
le mouton;mutton;;1.0;mot regulier
par conséquent;consequently (therefore);;1.0;mot regulier
un ustensile;a utensil;;1.0;mot regulier
finir dans les délais;to meet the deadline;;1.0;mot regulier
un bonhomme de neige;a snowman;;1.0;mot regulier
les talons hauts;the high heels;;1.0;mot regulier
C'était une histoire merveilleuse !;It was a marvellous story!;;1.0;mot regulier
la bibliothèque;the library;;1.0;mot regulier
J'ai rencontré Marc dont j'aime l'humour.;I met Marc, whose humour I love.;;1.0;mot regulier
une étagère;a shelf;;1.0;mot regulier
J'avais suspecté Louis. (suspecter);I had suspected Louis.;;1.0;mot regulier
faire un vœu;to make a wish;;1.0;mot regulier
aux fines herbes;cooked with herbs;;1.0;mot regulier
le barrage;the dam;;1.0;mot regulier
le t-shirt;the T-shirt;;1.0;mot regulier
le navigateur;the browser;;1.0;mot regulier
hausser les épaules;to shrug one's shoulders;;1.0;mot regulier
prendre;to take;;1.0;mot regulier
vingt et un;twenty-one;;1.0;mot regulier
le défaut;the fault;;1.0;mot regulier
Je suis un spectateur fidèle !;I'm a loyal member of the audience!;;1.0;mot regulier
Oh non, le gardien de but vient de marquer un but contre son camp !;Oh no, the goalkeeper has just scored an own goal!;;1.0;mot regulier
étant donné;given that;;1.0;mot regulier
Elle a les oreilles décollées.;Her ears stick out.;;1.0;mot regulier
cinq;five;;1.0;mot regulier
le dîner de travail;the work dinner;;1.0;mot regulier
Ne laisse pas la poêle avec l'huile sur le feu !;Don't leave the pan filled with oil on the hot stove!;;1.0;mot regulier
l'algue;the algae;;1.0;mot regulier
la taille;the height;;1.0;mot regulier
J'ai déjà lu le roman que tu as emprunté à la bibliothèque.;I've already read the novel which you (had) borrowed from the library.;;1.0;mot regulier
les maths;maths;;1.0;mot regulier
rouge;red;;1.0;mot regulier
vingt-cinq;twenty-five;;1.0;mot regulier
vendredi;Friday;;1.0;mot regulier
crier;to shout;;1.0;mot regulier
s’apprêter à [faire];to get ready to [do];;1.0;mot regulier
se déguiser;to dress up;;1.0;mot regulier
Ayons un peu de patience ! (avoir, nous);Let's be patient (lit. let's have a bit of patience)!;;1.0;mot regulier
Il fait un régime et pourtant il grossit.;He is on a diet but still puts on weight.;;1.0;mot regulier
Ce vin est bien approprié comme vin de dessert.;This wine suits well as a dessert wine.;;1.0;mot regulier
le neveu;the nephew;;1.0;mot regulier
six;six;;1.0;mot regulier
Les fromages qu'Elsa adore sentent mauvais.;The cheeses that Elsa loves smell bad.;;1.0;mot regulier
J'ai vu une offre sur internet.;I saw a (special) offer on the internet.;;1.0;mot regulier
se remettre;to recover;;1.0;mot regulier
Parler à [quelqu'un] de [faire] quelque chose;To speak to [someone] about [doing] something;;1.0;mot regulier
Le loisir auquel je m'intéresse ? Le karaté !;The hobby in which I'm interested? Karate!;;1.0;mot regulier
le guichetier;the cashier (masc.);;1.0;mot regulier
J'ai de fortes douleurs dans la cheville.;I have a lot of pain in my ankle.;;1.0;mot regulier
le toboggan;the slide;;1.0;mot regulier
une figue;fig;;1.0;mot regulier
nier;to deny;;1.0;mot regulier
le laborantin;the laboratory technician (masc.);;1.0;mot regulier
le brouillard;the fog;;1.0;mot regulier
le meilleur buteur;the top scorer;;1.0;mot regulier
le peignoir;bathrobe;;1.0;mot regulier
Le chemin mène dans le bois.;The path leads into the forest.;;1.0;mot regulier
Après un bon repas, il faut boire un digestif.;After a nice meal, you must drink a digestif.;;1.0;mot regulier
Il se serait séparé d'elle. (séparer);He would have split up with her.;;1.0;mot regulier
le cerf-volant;the kite;;1.0;mot regulier
reconnaissant;grateful (m);;1.0;mot regulier
le gilet;cardigan;;1.0;mot regulier
le billard;billiards;;1.0;mot regulier
le levier de vitesse;gear stick / [US: gearshift];;1.0;mot regulier
l'appareil ménager;the domestic appliance;;1.0;mot regulier
Vous avez encore une chambre libre pour une nuit ?;Do you have any vacancies for one night?;;1.0;mot regulier
Je prends un pastis.;I'll have a pastis.;;1.0;mot regulier
le tambour;the drum;;1.0;mot regulier
Sao Tomé et Principe;Sao Tome and Principe;;1.0;mot regulier
Je déteste les collants.;I hate tights.;;1.0;mot regulier
J'espère que mon cadeau te plaît.;I hope you like my present.;;1.0;mot regulier
Il y a des blattes dans la salle de bains.;There are cockroaches in the bathroom.;;1.0;mot regulier
À l'époque, tu adorais aller à l'école. (nous adorons);Back then, you loved going to school.;;1.0;mot regulier
le présentateur;the host (masc.);;1.0;mot regulier
atterrir;to land;;1.0;mot regulier
la retraitée;the pensioner;;1.0;mot regulier
Ils auraient aimé en manger plus. (aimer);They would have liked to eat more of it.;;1.0;mot regulier
J'avais rencontré mon patron dans le métro avant d'arriver au bureau. (rencontrer);I had met my boss in the underground before I got to the office.;;1.0;mot regulier
le sous-sol;basement;;1.0;mot regulier
motivant;challenging (m);;1.0;mot regulier
les bottes en caoutchouc;the wellingtons;;1.0;mot regulier
au gratin;cooked with grated cheese;;1.0;mot regulier
montrer le chemin;to show the way;;1.0;mot regulier
J'adore cette actrice.;I love this actress.;;1.0;mot regulier
orge;barley;;1.0;mot regulier
les échecs;the chess;;1.0;mot regulier
néanmoins;nevertheless;;1.0;mot regulier
Notre équipe s'entraînait tous les jours.;Our team trained every day.;;1.0;mot regulier
salé;salty / salted;;1.0;mot regulier
Ce n'est ni une arnaque ni une maison sale.;It's neither a rip-off nor a dirty house.;;1.0;mot regulier
le surpoids;the overweight;;1.0;mot regulier
J'apprécie ta sincérité.;I appreciate your honesty.;;1.0;mot regulier
quatorze;fourteen;;1.0;mot regulier
Il y a des milliers de scarabées dans notre tente.;In our tent are thousands of beetles.;;1.0;mot regulier
feuilleter;to leaf through;;1.0;mot regulier
inoffensif;harmless;;1.0;mot regulier
Ça va plus vite en ayant de l'aide.;It will be quick if we have help.;;1.0;mot regulier
le fou du roi;the king's jester;;1.0;mot regulier
la marée haute;the high tide;;1.0;mot regulier
cailler;to be freezing (fam.);;1.0;mot regulier
secouer;to shake;;1.0;mot regulier
avoir les pétoches;to be scared stiff (familiar);;1.0;mot regulier
déguster;to enjoy/to taste (food/drink);;1.0;mot regulier
Combien de femmes as-tu rencontrées ? (la femme);How many women have you met?;;1.0;mot regulier
repenser;to reminisce;;1.0;mot regulier
Je suis en train de répéter une partition très difficile.;I am practising a very difficult score.;;1.0;mot regulier
La Mecque;Mecca;;1.0;mot regulier
À la finale, il a une saveur aromatique de noix.;The aftertaste is aromatically nutty.;;1.0;mot regulier
le taille-crayon;the pencil-sharpener;;1.0;mot regulier
la poésie;poetry;;1.0;mot regulier
le coussin;the cushion;;1.0;mot regulier
J'utilise toujours une crème anti-rides le soir.;I always use anti-wrinkle cream at night.;;1.0;mot regulier
Je me suis blessé au pied et puis Paul a reçu un carton rouge.;I hurt my (lit. myself on the) foot and then Paul received a red card.;;1.0;mot regulier
un/une scénariste;a scriptwriter;;1.0;mot regulier
l'entraîneur;the coach;;1.0;mot regulier
perdre du temps à [faire];to waste time [doing];;1.0;mot regulier
Le moindre bruit me dérange.;The slightest noise disturbs me.;;1.0;mot regulier
un passe-montagne;balaclava / ski mask;;1.0;mot regulier
le bouddhisme;the Buddhism;;1.0;mot regulier
passer la serpillière;to mop;;1.0;mot regulier
espagnole;Spanish (fem);;1.0;mot regulier
embêter;to tease;;1.0;mot regulier
le nori;the nori;;1.0;mot regulier
Je dois recharger mon portable, la batterie est presque vide.;I need to charge my mobile, the battery's nearly gone.;;1.0;mot regulier
le gilet;the waistcoat;;1.0;mot regulier
une rime;a rhyme;;1.0;mot regulier
Changer de [quelque chose];To change [things];;1.0;mot regulier
noire;black (fem);;1.0;mot regulier
l'anglais;English;;1.0;mot regulier
le graffiti;the graffiti;;1.0;mot regulier
les boucles d'oreilles;the earrings;;1.0;mot regulier
les meubles;the furniture;;1.0;mot regulier
Le robinet goutte.;The tap is dripping.;;1.0;mot regulier
Au point d'approvisionnement, il y a de l'eau et des bananes.;At the refreshment station there is water and bananas.;;1.0;mot regulier
Martin regardait par la fenêtre et pensait à ses vacances.;Martin was looking out of the window and thinking about his holiday.;;1.0;mot regulier
l'hébreu;Hebrew;;1.0;mot regulier
le virus;the virus;;1.0;mot regulier
le professeur Rogue;Professor Snape;;1.0;mot regulier
la salle d'auscultation;examination room (medical);;1.0;mot regulier
Il est mélancolique aujourd'hui.;He has the blues today.;;1.0;mot regulier
fatiguant;tiring;;1.0;mot regulier
les lettres classiques;the classics;;1.0;mot regulier
l'apprenti;the apprentice (masc.);;1.0;mot regulier
à haute voix;out loud;;1.0;mot regulier
Au prix de vente s'ajoutent de coûteuses réparations.;On (top of) the sale price comes expensive repairs.;;1.0;mot regulier
vingt;twenty;;1.0;mot regulier
voler en essaim;to swarm;;1.0;mot regulier
avoir le cœur qui bat la chamade;to have one's heart beat wildly (with love);;1.0;mot regulier
résistant;heavy-duty;;1.0;mot regulier
quand les poules auront des dents;when pigs fly [lit. when hens have teeth];;1.0;mot regulier
le bleu de travail;overalls;;1.0;mot regulier
C'est un poste auquel correspond mon profil.;That's a position that matches my profile (lit. to which my profile corresponds).;;1.0;mot regulier
une montgolfière;a hot-air balloon;;1.0;mot regulier
passer la première;To go into first gear / [US : to shift into first gear];;1.0;mot regulier
allaiter;to breastfeed;;1.0;mot regulier
les Jeux Olympiques;Olympic Games;;1.0;mot regulier
J'ai marché pieds nus sur une abeille.;I stepped barefoot on a bee.;;1.0;mot regulier
au rez-de-chaussée;on the ground floor;;1.0;mot regulier
le dortoir;the dorm;;1.0;mot regulier
prendre ses jambes à son cou;to leg it;;1.0;mot regulier
le hockey sur luge;sledge hockey / para ice hockey;;1.0;mot regulier
muette;mute (f);;1.0;mot regulier
Le match s'est terminé trois à un.;The match ended three one.;;1.0;mot regulier
Est-ce que tu as déjà fait du ski nautique ?;Have you been water-skiing before?;;1.0;mot regulier
Avez-vous essayé de la joindre sur son portable ?;Have you tried to reach her on her mobile?;;1.0;mot regulier
se plonger dans un livre;to get absorbed in a book;;1.0;mot regulier
le stylo-plume;the fountain pen;;1.0;mot regulier
offrir;to buy (for someone);;1.0;mot regulier
une coupe glacée;an ice cream sundae;;1.0;mot regulier
les vendanges;the grape harvest;;1.0;mot regulier
Ils s'embrassent en cachette avant les cours.;They snog secretly before school.;;1.0;mot regulier
butiner;to gather nectar and pollen;;1.0;mot regulier
l'énoncé;the instruction;;1.0;mot regulier
un lutin;an elf;;1.0;mot regulier
la Roumanie;Romania;;1.0;mot regulier
les fourches;the split ends;;1.0;mot regulier
J'étais épuisé.;I was exhausted.;;1.0;mot regulier
le lièvre;the hare;;1.0;mot regulier
le formulaire;the form;;1.0;mot regulier
On trouve toujours une pente pour faire de la luge.;You always find a slope to go sledging.;;1.0;mot regulier
la matière;the matter;;1.0;mot regulier
avoir les jetons;to be scared stiff (familiar);;1.0;mot regulier
le lierre;the Ivy;;1.0;mot regulier
le doute;the doubt;;1.0;mot regulier
les feux / les feux de signalisation;the traffic lights;;1.0;mot regulier
le boucher;the butcher (masc.);;1.0;mot regulier
paner;to bread;;1.0;mot regulier
un traumatisme crânien;a head trauma;;1.0;mot regulier
le fond de la mer;the seabed;;1.0;mot regulier
mercredi;Wednesday;;1.0;mot regulier
le lapin;the rabbit;;1.0;mot regulier
Serdaigle;Ravenclaw;;1.0;mot regulier
l'emploi du temps;the timetable;;1.0;mot regulier
Elle a travaillé toute la journée.;She worked all day.;;1.0;mot regulier
espérer;to hope;;1.0;mot regulier
À Cannes, le jury décerne la Palme d'Or.;In Cannes, the jury award the Golden Palm.;;1.0;mot regulier
un parasol;a parasol;;1.0;mot regulier
Celui-ci est le moins drôle.;This one is the least funny.;;1.0;mot regulier
le stroboscope;the strobe;;1.0;mot regulier
avoir le béguin pour [quelqu'un];to have a crush on [someone];;1.0;mot regulier
le port du frac;the white tie;;1.0;mot regulier
Avec la banque en ligne vous avez accès à votre compte, où que vous soyez.;With online banking you can access your account from anywhere.;;1.0;mot regulier
le tanin;the tannin;;1.0;mot regulier
il fait un froid de loup;it's freezing cold;;1.0;mot regulier
Il est revenu hier.;He came back yesterday.;;1.0;mot regulier
avirons;oars;;1.0;mot regulier
La maison sent bon en étant propre.;The house smells nice when it's clean.;;1.0;mot regulier
Où est-ce que je peux déposer mes objets de valeur ?;Where can I deposit my valuables?;;1.0;mot regulier
Finir de [faire];To finish [doing];;1.0;mot regulier
J'utilise la carte de crédit de ma femme pour faire les courses !;I use my wife's credit card for the shopping!;;1.0;mot regulier
une actrice;an actor/actress;;1.0;mot regulier
Qu'il est imaginatif !;He is so imaginative!;;1.0;mot regulier
le menu;the menu;;1.0;mot regulier
Je commence à désespérer !;It is exasperating!;;1.0;mot regulier
le bicross;mountain biking;;1.0;mot regulier
le bouleau;the birch;;1.0;mot regulier
les crudités;raw vegetables;;1.0;mot regulier
le français;French;;1.0;mot regulier
flâner;to wander;;1.0;mot regulier
italien;Italian (masc);;1.0;mot regulier
Avant le marathon, on devrait consommer beaucoup de glucides.;Before the marathon one should consume a lot of carbohydrates.;;1.0;mot regulier
J'ai perdu mon pull bien-aimé ! (aimer);I lost my favourite pullover.;;1.0;mot regulier
S'approcher de [quelque chose];To get near [something];;1.0;mot regulier
indulgent;lenient;;1.0;mot regulier
Il a un beau corps.;He has a wonderful body.;;1.0;mot regulier
violette;purple (feminine form);;1.0;mot regulier
le torse;torso;;1.0;mot regulier
le pendentif;the pendant;;1.0;mot regulier
le plongeon;the high diving;;1.0;mot regulier
Aboutir à [quelque chose];To end up at / To lead to [something];;1.0;mot regulier
le Réveillon;New Year's Eve (evening);;1.0;mot regulier
le chalet;the ski hut;;1.0;mot regulier
le tir à la corde;the tug of war;;1.0;mot regulier
le papier cadeau;wrapping paper;;1.0;mot regulier
Où sont les sanitaires ?;Where are the lavatories?;;1.0;mot regulier
le Tchad;Chad;;1.0;mot regulier
Les histoires qui finissent mal ne sont pas drôles.;Stories that end badly aren't funny.;;1.0;mot regulier
le devoir;the duty;;1.0;mot regulier
le givre;the frost;;1.0;mot regulier
le gland;acorn;;1.0;mot regulier
le rocher;the boulder;;1.0;mot regulier
La méditation est un élément important du bouddhisme.;Meditation is an important part of Buddhism.;;1.0;mot regulier
le patinage;iceskating;;1.0;mot regulier
le narcisse;the daffodil;;1.0;mot regulier
le démaquillant;make-up remover;;1.0;mot regulier
dimanche;Sunday;;1.0;mot regulier
les colorants;the artificial colours;;1.0;mot regulier
Elle embrasserait les grenouilles. (embrasser);She would kiss frogs.;;1.0;mot regulier
détruire;to destroy;;1.0;mot regulier
Où est la mairie ?;Where is the town hall?;;1.0;mot regulier
soixante-seize;seventy-six;;1.0;mot regulier
le langage familier;the slang;;1.0;mot regulier
la nouvelle;the short story;;1.0;mot regulier
grise;grey (fem);;1.0;mot regulier
nature;plain;;1.0;mot regulier
resoudre;resolve;;1.0;mot regulier
les confettis;confetti;;1.0;mot regulier
le Tipp-Ex;the Tipp-Ex;;1.0;mot regulier
onze;eleven;;1.0;mot regulier
l'urne électorale;the ballot box;;1.0;mot regulier
Le vainqueur gagne la médaille d'or.;The winner gets the gold medal.;;1.0;mot regulier
La piste est verglacée.;The piste is iced over.;;1.0;mot regulier
le délit;the crime;;1.0;mot regulier
la mauvaise herbe;the weed;;1.0;mot regulier
un/une bibliothécaire;a librarian;;1.0;mot regulier
la rentrée des classes;~ back to school;;1.0;mot regulier
le podium;podium;;1.0;mot regulier
le grec ancien;Ancient Greek;;1.0;mot regulier
un agriculteur;a farmer (m);;1.0;mot regulier
le dessin satirique;the comic strip;;1.0;mot regulier
On m'appelait Loulou, autrefois. (nous appelons);People used to call me Loulou.;;1.0;mot regulier
détester;to hate;;1.0;mot regulier
l'auditeur;the listener;;1.0;mot regulier
frisquet;chilly (m);;1.0;mot regulier
se faire du souci;to worry;;1.0;mot regulier
le ski;the ski;;1.0;mot regulier
le carreau;the tile;;1.0;mot regulier
avoir la trouille;to be scared stiff (familiar);;1.0;mot regulier
une moldue;Muggle (f);;1.0;mot regulier
Quelle silhouette superbe. Tu as minci ?;You are in good shape. Did you lose weight?;;1.0;mot regulier
Elle aurait déjà un enfant. (avoir);Apparently she already has (lit. She would already have) a child.;;1.0;mot regulier
un coureur de jupons;a womaniser;;1.0;mot regulier
la pâte d'amande;marzipan;;1.0;mot regulier
le trou de ver;the wormhole;;1.0;mot regulier
le mécanicien;the mechanic (masc.);;1.0;mot regulier
un pousse-pousse;a rickshaw;;1.0;mot regulier
Je me connecte.;I go online (lit. connect myself).;;1.0;mot regulier
parvenir à [faire];to succeed in [doing];;1.0;mot regulier
le levain;bread yeast;;1.0;mot regulier
Je souhaiterais me reposer.;I'd like to rest.;;1.0;mot regulier
handicapé;handicapped/disabled (m);;1.0;mot regulier
J'ai pris un médicament contre les douleurs à l'estomac.;I have taken some medicine for my stomach ache.;;1.0;mot regulier
le romarin;the rosemary;;1.0;mot regulier
les palmes;flippers;;1.0;mot regulier
argumenter;to argue;;1.0;mot regulier
préférer;to prefer;;1.0;mot regulier
une betterave;a beetroot;;1.0;mot regulier
la béquille;the crutch;;1.0;mot regulier
le survivant;the survivor;;1.0;mot regulier
la cigale;the cicada;;1.0;mot regulier
Rire de [quelqu'un];To mock [someone];;1.0;mot regulier
le tonneau;the barrel;;1.0;mot regulier
Noël se fête en famille.;Christmas is celebrated with the family.;;1.0;mot regulier
la belle-famille;in-laws;;1.0;mot regulier
une pellicule;a film roll;;1.0;mot regulier
un enrobage;a coating;;1.0;mot regulier
la soupe populaire;the soup kitchen;;1.0;mot regulier
la bouche d'égout;the drain;;1.0;mot regulier
la manucure;the manicure;;1.0;mot regulier
un oursin;an urchin;;1.0;mot regulier
les essuie-glaces;the windscreen wipers;;1.0;mot regulier
le swing;the swing;;1.0;mot regulier
le bobsleigh;bobsleighing;;1.0;mot regulier
un brushing;blow-dry;;1.0;mot regulier
le prêtre;the priest;;1.0;mot regulier
J'ai des difficultés à comprendre son accent.;I have problems with his accent.;;1.0;mot regulier
le gésier;the gizzard;;1.0;mot regulier
le canoë;the canoe;;1.0;mot regulier
avoir un faible;to have a crush;;1.0;mot regulier
On se détendrait !;We would relax!;;1.0;mot regulier
la maternité;the maternity ward;;1.0;mot regulier
vingt-huit;twenty-eight;;1.0;mot regulier
Les meilleures confitures sont celles que je fais moi-même. (++);The best jams (fem.) are the ones I make myself.;;1.0;mot regulier
le roseau;the reed;;1.0;mot regulier
les allumettes;the matches;;1.0;mot regulier
le pare-brise;windscreen / [US windshield];;1.0;mot regulier
La navette s'arrête devant l'entrée principale.;The express bus stops in front of the main entrance.;;1.0;mot regulier
la colline;the hill;;1.0;mot regulier
Ils s'en vont.;They're leaving.;;1.0;mot regulier
le cabaret;the cabaret;;1.0;mot regulier
le verre;the glass;;1.0;mot regulier
la mousson;the monsoon rain;;1.0;mot regulier
le passage à niveau;the level crossing;;1.0;mot regulier
Il est chargé de surveiller l'examen écrit.;He is the invigilator in the written exam.;;1.0;mot regulier
le taux d'imposition;the tax rate;;1.0;mot regulier
le violon;the violin;;1.0;mot regulier
J'utilise la citronnelle comme épice et comme tisane.;I use lemon grass as a seasoning and as a tea.;;1.0;mot regulier
le tapis;the carpet;;1.0;mot regulier
J'ai la nausée et mal à l'estomac.;I feel sick and my stomach hurts.;;1.0;mot regulier
le taureau;the bull;;1.0;mot regulier
Est-ce qu'une frange plus courte m'irait ?;Would a shorter fringe look good on me?;;1.0;mot regulier
le bouton;the spot;;1.0;mot regulier
le fond de teint;foundation;;1.0;mot regulier
la poitrine;chest, breasts;;1.0;mot regulier
le tramway;the tram;;1.0;mot regulier
le malaise;the discomfort;;1.0;mot regulier
rose;pink;;1.0;mot regulier
le mouton de poussière;the dust bunny;;1.0;mot regulier
le tambour;drum;;1.0;mot regulier
Notre chambre, qui donne sur le jardin, est très calme.;Our room, which overlooks the garden, is very calm.;;1.0;mot regulier
un ballon;a ball;;1.0;mot regulier
le croisement;intersection;;1.0;mot regulier
fiable;reliable;;1.0;mot regulier
le diadème;the tiara;;1.0;mot regulier
Tu veux parler de la fête ? Nous en parlons plus tard. Ok ?;Do you want to talk about the party? We'll talk about it later. Ok?;;1.0;mot regulier
le pilon;the drumstick;;1.0;mot regulier
le lustre;the chandelier;;1.0;mot regulier
le ruisseau;the brook;;1.0;mot regulier
faire les poussières;to dust;;1.0;mot regulier
faire les yeux doux à [quelqu'un];to make sheep's eyes at [someone];;1.0;mot regulier
musulmane;Muslim (f);;1.0;mot regulier
la prestation sociale;the social security benefit;;1.0;mot regulier
les brassards;arm bands;;1.0;mot regulier
les langues vivantes;modern languages;;1.0;mot regulier
le mirage;the mirage;;1.0;mot regulier
majeur;of age;;1.0;mot regulier
le klaxon;horn;;1.0;mot regulier
le bac à linge sale;dirty laundry basket;;1.0;mot regulier
le cadenas;the lock;;1.0;mot regulier
les coulisses;behind the scenes;;1.0;mot regulier
C'est un club homosexuel, mais ils laissent aussi entrer les hétéros.;It's a gay club, but they let heterosexuals in too.;;1.0;mot regulier
une paille;a straw;;1.0;mot regulier
la bouche d'incendie;the fire hydrant;;1.0;mot regulier
le cochon d'Inde;the guinea pig;;1.0;mot regulier
le Pays de Galles;Wales;;1.0;mot regulier
embarquer;to board;;1.0;mot regulier
le seigle;the rye;;1.0;mot regulier
monter les escaliers;to go upstairs;;1.0;mot regulier
vingt-quatre;twenty-four;;1.0;mot regulier
se régaler;to relish / to savour (food);;1.0;mot regulier
les gants;gloves;;1.0;mot regulier
le premier rang;the first row;;1.0;mot regulier
Nos retrouvailles étaient un hasard mais les vôtres étaient prévues.;Our reunion was coincidence, but yours (formal) was planned (lit. forseen).;;1.0;mot regulier
un cimetière;a cemetery / graveyard;;1.0;mot regulier
la nappe;the tablecloth;;1.0;mot regulier
Je suis de bonne humeur aujourd'hui.;I am in a good mood today.;;1.0;mot regulier
Je cuisine volontiers en sachant que tu viens ce soir !;I'm happy to cook knowing that you're coming this evening!;;1.0;mot regulier
Ils mangeraient bien du homard. (manger);They would like to eat lobster.;;1.0;mot regulier
le mouton;the sheep;;1.0;mot regulier
le hochement de tête;the nod;;1.0;mot regulier
le slip;underpants;;1.0;mot regulier
la tétine;the dummy;;1.0;mot regulier
les baskets;the trainers;;1.0;mot regulier
tiède;warm;;1.0;mot regulier
un facteur;a postman;;1.0;mot regulier
fragile;frail;;1.0;mot regulier
la plante d'aquarium;the aquarium plant;;1.0;mot regulier
le fonctionnaire;the public servant (masc.);;1.0;mot regulier
J'ai le trac avant chaque entrée en scène.;I get stage fright before every performance.;;1.0;mot regulier
le tuteur;the guardian;;1.0;mot regulier
Ressembler à [quelqu'un];To look like [someone];;1.0;mot regulier
palper;to palpate;;1.0;mot regulier
Les copains ? Je les appelle tous ce soir.;The mates? I'm calling them all tonight.;;1.0;mot regulier
le volant;steering wheel;;1.0;mot regulier
le dépouillement;vote counting;;1.0;mot regulier
renverser [quelqu'un];to knock [someone] over;;1.0;mot regulier
obliger [quelqu’un] à [faire];to force [someone] to [do];;1.0;mot regulier
les cloches;the bells;;1.0;mot regulier
repasser;to iron;;1.0;mot regulier
La balance est terminée. C'est parti !;The soundcheck is done. Here we go!;;1.0;mot regulier
la mouche;the fly;;1.0;mot regulier
les claquettes;the tap dance;;1.0;mot regulier
la manchette;the headline;;1.0;mot regulier
Étienne était un enfant affectueux.;Étienne was an affectionate child.;;1.0;mot regulier
être à découvert;to be overdrawn;;1.0;mot regulier
le canard;the duck;;1.0;mot regulier
Où est-ce que je peux acheter un fer à lisser ?;Where can I buy a straightening iron?;;1.0;mot regulier
inclure;to include;;1.0;mot regulier
faire de l'apnée;to hold one's breath under water;;1.0;mot regulier
Myriam est arrivée à la gare.;Myriam arrived at the station.;;1.0;mot regulier
le cours;the seminar;;1.0;mot regulier
toucher un chèque;to cash a cheque;;1.0;mot regulier
la conseillère d'orientation;the career counsellor (fem.);;1.0;mot regulier
le coude;elbow;;1.0;mot regulier
le sous-bock;the beer mat;;1.0;mot regulier
Je dois faire un test d'évaluation.;I have to do an entry-level test.;;1.0;mot regulier
un crapaud;a toad;;1.0;mot regulier
le pelage;the fur;;1.0;mot regulier
le serment;the vow;;1.0;mot regulier
les meubles de jardin;the outdoor furniture;;1.0;mot regulier
le fichier d'adresses;mailing list;;1.0;mot regulier
la Prise de la Bastille;the storming of the Bastille;;1.0;mot regulier
le testament;the will;;1.0;mot regulier
le suffrage universel;universal suffrage;;1.0;mot regulier
avoir la frousse;to be scared stiff (familiar);;1.0;mot regulier
Où est-ce que je peux louer des skis ?;Where can I hire skis?;;1.0;mot regulier
la portière;car door;;1.0;mot regulier
J'aimerais bien savoir jouer d'un instrument.;I would like to be able to play an instrument.;;1.0;mot regulier
Nous y allons. (au cinéma);We're going there.;;1.0;mot regulier
la vigne;the vine;;1.0;mot regulier
un lampion;a paper lantern;;1.0;mot regulier
les sucreries;the sweets;;1.0;mot regulier
Le printemps vient, les jours commencent à s'allonger.;Spring is coming, the days are getting longer.;;1.0;mot regulier
Je lirai un livre sur la pollution. (lire);I will read a book on pollution.;;1.0;mot regulier
la plaque d'immatriculation;number/license plate;;1.0;mot regulier
s'abstenir;to abstain;;1.0;mot regulier
J'ai trouvé des gants sur la table et je lui ai demandé si c'étaient les siens.;I found gloves on the table, and I asked him/her if they were his/hers.;;1.0;mot regulier
le retraité;the pensioner;;1.0;mot regulier
le point d'approvisionnement;the refreshment station;;1.0;mot regulier
bouclé;curly;;1.0;mot regulier
le point de suture;the stitch;;1.0;mot regulier
le gilet de sauvetage;the life jacket;;1.0;mot regulier
Les tomates ne rougissent pas toutes autant. (rougir);Not all tomatoes ripen as much as this.;;1.0;mot regulier
On va se revoir ?;Will we see each other again?;;1.0;mot regulier
La Berlinale est le festival du cinéma le plus important en Allemagne.;The Berlinale is the most important film festival in Germany.;;1.0;mot regulier
Les deux équipes rivalisent pour la coupe.;The two teams are playing for the cup.;;1.0;mot regulier
le mollet;calf;;1.0;mot regulier
négligé;scruffy;;1.0;mot regulier
le vêtement de protection;protective clothes;;1.0;mot regulier
le rétroviseur;rear-view mirror;;1.0;mot regulier
dix-neuf;nineteen;;1.0;mot regulier
perdre connaissance;to lose consciousness;;1.0;mot regulier
les hors-d'œuvre;the hors-d'œuvres;;1.0;mot regulier
l'internat;the boarding school;;1.0;mot regulier
